Provinsi,Tahun,APS,PPM,RLS,IPM,TKF,PLKI,TPAK,UMP,TPT,TPT Actual,TPT NBC,TPT SVM
ACEH,2020,99.84,14.99,9.71,73.29,38.12,61.88,65.1,3165031.0,6.59,Tinggi,Tinggi,Tinggi
SUMATERA UTARA,2020,99.44,8.75,9.83,73.62,40.38,59.62,68.67,2499423.0,6.91,Tinggi,Tinggi,Rendah
SUMATERA BARAT,2020,99.61,6.28,9.34,74.29,33.72,66.28,69.01,2484041.0,6.88,Tinggi,Tinggi,Rendah
RIAU,2020,99.53,6.82,9.47,73.67,44.03,55.97,65.24,2888564.0,6.32,Tinggi,Tinggi,Tinggi
JAMBI,2020,99.82,7.58,8.97,72.29,37.26,62.74,67.79,2630162.0,5.13,Tinggi,Tinggi,Rendah
SUMATERA SELATAN,2020,99.71,12.66,8.68,71.62,34.74,65.26,68.65,3043111.0,5.51,Tinggi,Rendah,Rendah
BENGKULU,2020,99.78,15.03,9.2,72.93,30.77,69.23,71.73,2213604.0,4.07,Rendah,Rendah,Rendah
LAMPUNG,2020,99.74,12.34,8.51,71.04,27.74,72.26,70.16,2432002.0,4.67,Rendah,Rendah,Rendah
KEP. BANGKA BELITUNG,2020,99.7,4.53,8.49,72.74,47.07,52.93,66.89,3230024.0,5.25,Tinggi,Tinggi,Tinggi
KEP. RIAU,2020,99.55,5.92,10.22,77.69,64.59,35.41,66.28,3005460.0,10.34,Tinggi,Tinggi,Tinggi
DKI JAKARTA,2020,99.64,4.53,11.17,81.92,61.78,38.22,63.81,4276350.0,10.95,Tinggi,Tinggi,Tinggi
JAWA BARAT,2020,99.66,7.88,8.96,72.61,44.41,55.59,64.53,1810351.0,10.46,Tinggi,Tinggi,Tinggi
JAWA TENGAH,2020,99.73,11.41,8.19,71.88,37.25,62.75,69.43,1742015.0,6.48,Tinggi,Tinggi,Tinggi
DI YOGYAKARTA,2020,99.89,12.28,9.95,79.95,42.59,57.41,71.12,1704608.0,4.57,Rendah,Tinggi,Rendah
JAWA TIMUR,2020,99.54,11.09,8.31,73.04,36.36,63.64,70.33,1768777.0,5.84,Tinggi,Tinggi,Rendah
BANTEN,2020,99.4,5.92,9.22,74.41,50.83,49.17,64.48,2460997.0,10.64,Tinggi,Tinggi,Tinggi
BALI,2020,99.57,3.78,9.31,76.52,43.31,56.69,74.32,2494000.0,5.63,Tinggi,Tinggi,Rendah
NUSA TENGGARA BARAT,2020,99.52,13.97,8.08,70.46,26.53,73.47,70.45,2183883.0,4.22,Rendah,Rendah,Rendah
NUSA TENGGARA TIMUR,2020,98.57,20.9,8.09,66.93,23.9,76.1,73.11,1950000.0,4.28,Rendah,Rendah,Rendah
KALIMANTAN BARAT,2020,98.6,7.17,7.9,68.76,36.99,63.01,68.83,2399699.0,5.81,Tinggi,Rendah,Rendah
KALIMANTAN TENGAH,2020,99.49,4.82,8.95,72.62,44.2,55.8,68.4,2903145.0,4.58,Rendah,Tinggi,Rendah
KALIMANTAN SELATAN,2020,99.48,4.38,8.69,73.09,39.18,60.82,69.33,2877449.0,4.74,Rendah,Tinggi,Rendah
KALIMANTAN TIMUR,2020,99.73,6.1,9.99,75.94,52.86,47.14,65.5,2981379.0,6.87,Tinggi,Tinggi,Tinggi
KALIMANTAN UTARA,2020,98.94,6.8,9.3,71.0,49.07,50.93,66.51,3000804.0,4.97,Tinggi,Tinggi,Tinggi
SULAWESI UTARA,2020,99.59,7.62,9.74,73.67,39.54,60.46,63.42,3310723.0,7.37,Tinggi,Tinggi,Tinggi
SULAWESI TENGAH,2020,98.38,12.92,9.09,70.31,32.63,67.37,69.44,2303711.0,3.77,Rendah,Rendah,Rendah
SULAWESI SELATAN,2020,99.25,8.72,8.86,73.08,35.78,64.22,63.4,3103800.0,6.31,Tinggi,Tinggi,Tinggi
SULAWESI TENGGARA,2020,99.1,11.0,9.41,71.61,35.41,64.59,69.83,2552015.0,4.58,Rendah,Tinggi,Rendah
GORONTALO,2020,98.92,15.22,8.26,69.51,37.88,62.12,66.46,2788826.0,4.28,Rendah,Rendah,Tinggi
SULAWESI BARAT,2020,98.33,10.87,8.33,68.4,27.37,72.63,70.19,2678863.0,3.32,Rendah,Rendah,Rendah
MALUKU,2020,99.5,17.44,10.2,71.34,33.44,66.56,65.07,2604961.0,7.57,Tinggi,Tinggi,Tinggi
MALUKU UTARA,2020,99.04,6.78,9.42,69.3,33.87,66.13,64.28,2721530.0,5.15,Tinggi,Tinggi,Tinggi
PAPUA BARAT,2020,97.89,21.37,10.0,65.94,42.02,57.98,69.55,3134600.0,6.8,Tinggi,Rendah,Tinggi
PAPUA,2020,82.99,26.64,6.96,61.22,20.08,79.92,72.16,3516700.0,4.28,Rendah,Rendah,Rendah
ACEH,2021,99.67,15.33,9.77,73.48,39.31,60.69,63.78,3165030.0,6.3,Tinggi,Tinggi,Tinggi
SUMATERA UTARA,2021,99.32,9.01,9.88,73.84,40.67,59.33,69.1,3310723.0,6.33,Tinggi,Tinggi,Rendah
